,NPC,Households,PV output,LLP,Diesel Cost,Renewable invesment cost,Genererator invesment cost,Battery invesment cost,Battery operation cost,PV nominal capacity,Genset nominal capacity,Battery nominal capacity
856,293692.554927593,164,3,0.0085,1.041,1.445,1.535,0.676,5.15909090909091E-05,32120.9977646438,20057.5764166667,8025.17328368091
857,286429.902917659,152,5,0.0085,1.041,1.445,1.535,0.676,5.15909090909091E-05,30703.0243433191,19515.5256774886,3954.10543041476
858,277184.086777726,176,5,0.0267,0.819,1.614,1.543,0.533,3.53409090909091E-05,29297.5150681319,20726.1789543808,0
859,252167.571747877,164,2,0.0267,0.819,1.614,1.543,0.533,3.53409090909091E-05,26301.2833961729,19462.5889521819,1344.23400426962
860,237944.818729386,152,2,0.0267,0.819,1.614,1.543,0.533,3.53409090909091E-05,24238.2454908336,18103.2473816307,1862.77764962612
861,302023.529562203,164,8,0.0085,1.041,1.445,1.535,0.676,5.15909090909091E-05,34110.383539078,20625.7532339127,4903.54559295273
862,305063.077424424,164,6,0.0085,1.041,1.445,1.535,0.676,5.15909090909091E-05,34609.2218245545,20817.0517364183,3974.42394760394
863,163823.962473311,164,5,0.0371,0.393,1.363,1.625,0.466,2.77272727272727E-05,18430.7225693512,19101.2097585283,0
864,229350.378175792,176,4,0.0227,0.581,1.582,1.694,0.666,5.04545454545455E-05,25178.9549612983,21135.5812253512,0
865,161933.010853963,176,0,0.0122,0.323,1.658,1.588,0.551,3.73863636363636E-05,16368.6858071552,23309.539686811,0
866,150762.742910849,152,3,0.0371,0.393,1.363,1.625,0.466,2.77272727272727E-05,17219.8763841965,17678.5456674081,0
867,142302.538599042,152,3,0.0122,0.323,1.658,1.588,0.551,3.73863636363636E-05,13593.2048480857,20605.769201955,0
868,295542.218029331,164,2,0.0159,1.109,1.713,1.304,0.433,2.39772727272727E-05,42257.0031499712,12349.4184749713,73399.6320992213
869,106807.224123559,164,8,0.0333,0.186,1.779,1.494,0.517,3.35227272727273E-05,0,23600.128669033,0
870,278439.763328673,176,7,0.0267,0.819,1.614,1.543,0.533,3.53409090909091E-05,29825.2638072703,20707.6314464299,0
871,175065.136552982,176,7,0.0371,0.393,1.363,1.625,0.466,2.77272727272727E-05,20176.3611038331,20271.9077120389,0
872,313625.848611624,164,4,0.0159,1.109,1.713,1.304,0.433,2.39772727272727E-05,43260.5442174851,13739.4494557631,56316.7076591366
873,203086.032101773,176,7,0.0418,0.543,1.33,1.411,0.584,4.11363636363636E-05,26245.2126714263,19440.5106576735,0
874,312578.846851885,164,7,0.0159,1.109,1.713,1.304,0.433,2.39772727272727E-05,43325.432260196,13590.7571502628,56345.1189143638
875,258103.745504563,152,9,0.0499,0.937,1.521,1.368,0.423,2.28409090909091E-05,32593.4337444571,14119.5687833333,21043.3174218053
876,312700.044323893,164,9,0.0159,1.109,1.713,1.304,0.433,2.39772727272727E-05,43634.454867449,13522.1842853482,57060.1492560192
877,324401.702920005,176,4,0.0085,1.041,1.445,1.535,0.676,5.15909090909091E-05,37181.6270751011,21814.2931707216,4949.85781232679
878,106798.443573549,164,1,0.0333,0.186,1.779,1.494,0.517,3.35227272727273E-05,612.07705764911,23248.6089447957,0
879,114228.975310517,176,6,0.0333,0.186,1.779,1.494,0.517,3.35227272727273E-05,0,25324.1382828534,0
880,146077.911029876,152,7,0.0122,0.323,1.658,1.588,0.551,3.73863636363636E-05,12800.0587499299,21195.9374656377,0
881,98970.0542284288,152,2,0.0333,0.186,1.779,1.494,0.517,3.35227272727273E-05,0,21879.2659025618,0
882,106807.224123559,164,6,0.0333,0.186,1.779,1.494,0.517,3.35227272727273E-05,0,23600.128669033,0
883,329033.290078675,176,8,0.0159,1.109,1.713,1.304,0.433,2.39772727272727E-05,46974.1016585037,13765.8897,64612.5378275262
884,214975.803947829,164,7,0.0227,0.581,1.582,1.694,0.666,5.04545454545455E-05,21792.9624526765,20033.2376189127,0
885,287764.74064529,176,8,0.0499,0.937,1.521,1.368,0.423,2.28409090909091E-05,39455.7686359822,14955.0664666667,32657.7684394052
886,247081.409281235,152,3,0.0499,0.937,1.521,1.368,0.423,2.28409090909091E-05,32597.3499383677,12595.6703641648,37417.0033289086
887,304387.391005709,164,9,0.0085,1.041,1.445,1.535,0.676,5.15909090909091E-05,34363.6233138301,20846.9135899499,3763.92016351983
888,245215.280400632,152,8,0.0267,0.819,1.614,1.543,0.533,3.53409090909091E-05,25446.3253318069,18398.975542432,0
889,222965.892002787,152,7,0.0011,0.693,1.468,1.447,0.613,4.44318181818182E-05,27334.0221225542,22365.1932713076,0
890,293364.404650022,152,8,0.0159,1.109,1.713,1.304,0.433,2.39772727272727E-05,38096.8746334828,12992.4235075275,49179.2383082955
891,166935.109654622,176,4,0.0122,0.323,1.658,1.588,0.551,3.73863636363636E-05,16317.3809999406,24009.5718461037,0
892,332487.269857806,176,7,0.0159,1.109,1.713,1.304,0.433,2.39772727272727E-05,46243.7941064452,14249.0242261005,59772.2990199066
893,169604.780315763,176,1,0.0371,0.393,1.363,1.625,0.466,2.77272727272727E-05,21093.3799275192,19865.4607492474,0
894,248327.898467269,152,0,0.0499,0.937,1.521,1.368,0.423,2.28409090909091E-05,32294.7315944338,12778.0723333333,35500.0652033972
895,106807.224123559,164,9,0.0333,0.186,1.779,1.494,0.517,3.35227272727273E-05,0,23600.128669033,0
896,174497.699713168,176,5,0.0371,0.393,1.363,1.625,0.466,2.77272727272727E-05,19940.4662104995,20348.8931181782,0
897,155853.739003303,164,9,0.0122,0.323,1.658,1.588,0.551,3.73863636363636E-05,14562.4378273563,22456.4258626707,0
898,296131.146214432,164,1,0.0159,1.109,1.713,1.304,0.433,2.39772727272727E-05,42082.4992414078,12434.3387358221,72290.8038619216
899,297094.265398579,152,4,0.0159,1.109,1.713,1.304,0.433,2.39772727272727E-05,37820.4341309847,13568.6240166667,44859.3851486221
900,155711.163926403,164,7,0.0122,0.323,1.658,1.588,0.551,3.73863636363636E-05,14568.7192512784,22430.294344639,0
901,235850.501138022,188,1,0.0035,0.585,1.471,1.621,0.698,5.40909090909091E-05,26420.1231308604,25132.648767193,0
902,195092.548994782,200,7,0.0372,0.392,1.634,1.384,0.585,4.125E-05,16642.9596830316,23379.6869478433,0
903,226079.730235882,200,0,0.0098,0.513,1.731,1.3,0.483,2.96590909090909E-05,25120.1964465142,25263.6782531739,0
904,245175.576127565,188,9,0.0035,0.585,1.471,1.621,0.698,5.40909090909091E-05,30791.1535821146,25354.8146537097,0
905,233499.432863718,200,7,0.0098,0.513,1.731,1.3,0.483,2.96590909090909E-05,24891.4121780876,25760.6421130253,0
906,153208.594379507,200,8,0.0109,0.225,1.413,1.587,0.563,3.875E-05,18917.2695896145,26799.4580762309,0
907,161798.342113221,188,0,0.0463,0.337,1.371,1.451,0.416,2.20454545454545E-05,18089.0244124244,20851.0114395941,0
908,379279.432795545,200,4,0.0281,1.071,1.751,1.564,0.668,5.06818181818182E-05,37807.2788595679,22616.6223352921,0
909,141301.825216075,188,1,0.0109,0.225,1.413,1.587,0.563,3.875E-05,17453.2316001727,24931.3035672175,0
910,154105.341286771,200,5,0.0109,0.225,1.413,1.587,0.563,3.875E-05,19337.0945451684,27056.1174779576,0
911,260849.770126936,188,6,0.0401,0.691,1.657,1.35,0.438,2.45454545454545E-05,28076.1823919465,20751.6211814856,0
912,170182.220016721,200,2,0.0463,0.337,1.371,1.451,0.416,2.20454545454545E-05,19514.9338642882,21873.9762307124,0
913,194110.073096216,200,8,0.0372,0.392,1.634,1.384,0.585,4.125E-05,17504.0807940994,23151.8492337978,0
914,383077.223319209,200,5,0.0228,1.173,1.514,1.521,0.524,3.43181818181818E-05,53104.9916032614,16077.5792643263,58001.498533736
915,183613.707906791,188,8,0.0372,0.392,1.634,1.384,0.585,4.125E-05,16249.866846677,21992.4138069973,0
916,213796.216714858,188,0,0.0098,0.513,1.731,1.3,0.483,2.96590909090909E-05,23404.8264736753,23988.2607338182,0
917,313453.731047677,188,3,0.0341,0.955,1.567,1.666,0.499,3.14772727272727E-05,39129.9093013067,16888.9252566869,36063.4264650761
918,189583.37826725,200,3,0.0372,0.392,1.634,1.384,0.585,4.125E-05,18864.2677897904,22747.2299389244,0
919,213108.575239744,188,3,0.0098,0.513,1.731,1.3,0.483,2.96590909090909E-05,23446.8227100273,23947.4796290155,0
920,365106.371608858,188,7,0.0228,1.173,1.514,1.521,0.524,3.43181818181818E-05,50741.7770794115,15583.0337708043,53731.5783210686
921,341609.695078827,200,8,0.0341,0.955,1.567,1.666,0.499,3.14772727272727E-05,41333.6153177988,19271.0786791985,20564.3362418151
922,175792.448120436,200,4,0.0463,0.337,1.371,1.451,0.416,2.20454545454545E-05,17722.338281461,22604.3643470048,0
923,166303.361552707,188,4,0.0463,0.337,1.371,1.451,0.416,2.20454545454545E-05,16492.4281484323,21435.6551651393,0
924,292010.580929168,200,5,0.019,0.785,1.339,1.487,0.637,4.71590909090909E-05,36333.5137053223,23652.5455915078,0
925,184924.2705532,188,6,0.0372,0.392,1.634,1.384,0.585,4.125E-05,13654.5573853777,22528.9541652865,0
926,329686.107076345,200,2,0.0341,0.955,1.567,1.666,0.499,3.14772727272727E-05,41603.0640497024,17319.8620666667,38766.4112768076
927,293228.669291656,200,7,0.019,0.785,1.339,1.487,0.637,4.71590909090909E-05,36978.9689118034,23630.1231599758,0
928,174471.788836997,200,8,0.0463,0.337,1.371,1.451,0.416,2.20454545454545E-05,18635.3412595975,22282.5243544775,0
929,149450.77390345,200,2,0.0109,0.225,1.413,1.587,0.563,3.875E-05,18796.903961227,26281.7766332177,0
930,366414.055868729,188,4,0.0228,1.173,1.514,1.521,0.524,3.43181818181818E-05,50660.4329953934,15864.3662565355,52698.3049699772
931,345373.919053421,188,1,0.0281,1.071,1.751,1.564,0.668,5.06818181818182E-05,32760.7959096901,21745.9122511721,0
932,165352.658208193,188,5,0.0463,0.337,1.371,1.451,0.416,2.20454545454545E-05,17069.6751935143,21280.6051362321,0
933,194422.322660738,200,5,0.0372,0.392,1.634,1.384,0.585,4.125E-05,17264.7832677316,23310.8611414161,0
934,264264.237251619,200,1,0.0401,0.691,1.657,1.35,0.438,2.45454545454545E-05,29020.4576615643,21449.6152494401,0
935,141277.169177789,188,2,0.0109,0.225,1.413,1.587,0.563,3.875E-05,17439.3697670033,24963.0117368087,0
936,291154.026253849,200,8,0.019,0.785,1.339,1.487,0.637,4.71590909090909E-05,36693.7707752061,23628.2980216194,0
937,282458.284347048,200,2,0.019,0.785,1.339,1.487,0.637,4.71590909090909E-05,34345.1951159923,23649.8263542209,0
938,350013.180972242,188,0,0.0228,1.173,1.514,1.521,0.524,3.43181818181818E-05,48751.5025379418,14196.4604700834,70695.3986463198
